ref: simulated example

wavelength (nm)	n	k
3.820000e+02	1.485933e+00	7.283232e-02
3.830000e+02	1.485815e+00	7.180532e-02
3.840000e+02	1.485683e+00	7.080487e-02
3.850000e+02	1.485536e+00	6.983272e-02
3.860000e+02	1.485378e+00	6.888433e-02
3.870000e+02	1.485209e+00	6.795914e-02
3.880000e+02	1.485031e+00	6.705658e-02
3.890000e+02	1.484843e+00	6.617609e-02
3.900000e+02	1.484646e+00	6.531965e-02
3.910000e+02	1.484441e+00	6.448766e-02
3.920000e+02	1.484228e+00	6.367601e-02
3.930000e+02	1.484009e+00	6.288417e-02
3.940000e+02	1.483785e+00	6.211161e-02
3.950000e+02	1.483555e+00	6.135938e-02
3.960000e+02	1.483319e+00	6.063007e-02
3.970000e+02	1.483079e+00	5.991840e-02
3.980000e+02	1.482835e+00	5.922390e-02
3.990000e+02	1.482588e+00	5.854608e-02
4.000000e+02	1.482337e+00	5.788805e-02
4.010000e+02	1.482083e+00	5.724850e-02
4.020000e+02	1.481827e+00	5.662414e-02
4.030000e+02	1.481569e+00	5.601456e-02
4.040000e+02	1.481309e+00	5.542081e-02
4.050000e+02	1.481047e+00	5.484586e-02
4.060000e+02	1.480784e+00	5.428433e-02
4.070000e+02	1.480520e+00	5.373586e-02
4.080000e+02	1.480255e+00	5.320118e-02
4.090000e+02	1.479990e+00	5.268398e-02
4.100000e+02	1.479724e+00	5.217861e-02
4.110000e+02	1.479458e+00	5.168474e-02
4.120000e+02	1.479192e+00	5.120422e-02
4.130000e+02	1.478926e+00	5.073857e-02
4.140000e+02	1.478660e+00	5.028333e-02
4.150000e+02	1.478395e+00	4.983823e-02
4.160000e+02	1.478131e+00	4.940729e-02
4.170000e+02	1.477867e+00	4.898762e-02
4.180000e+02	1.477604e+00	4.857712e-02
4.190000e+02	1.477342e+00	4.817685e-02
4.200000e+02	1.477082e+00	4.778994e-02
4.210000e+02	1.476822e+00	4.741130e-02
4.220000e+02	1.476563e+00	4.704074e-02
4.230000e+02	1.476306e+00	4.668314e-02
4.240000e+02	1.476050e+00	4.633384e-02
4.250000e+02	1.475796e+00	4.599184e-02
4.260000e+02	1.475543e+00	4.566061e-02
4.270000e+02	1.475292e+00	4.533833e-02
4.280000e+02	1.475042e+00	4.502264e-02
4.290000e+02	1.474794e+00	4.471621e-02
4.300000e+02	1.474548e+00	4.441881e-02
4.310000e+02	1.474303e+00	4.412736e-02
4.320000e+02	1.474061e+00	4.384429e-02
4.330000e+02	1.473820e+00	4.356980e-02
4.340000e+02	1.473581e+00	4.330069e-02
4.350000e+02	1.473344e+00	4.303959e-02
4.360000e+02	1.473109e+00	4.278623e-02
4.370000e+02	1.472875e+00	4.253771e-02
4.380000e+02	1.472644e+00	4.229729e-02
4.390000e+02	1.472415e+00	4.206339e-02
4.400000e+02	1.472187e+00	4.183387e-02
4.410000e+02	1.471962e+00	4.161292e-02
4.420000e+02	1.471739e+00	4.139699e-02
4.430000e+02	1.471517e+00	4.118532e-02
4.440000e+02	1.471299e+00	4.098236e-02
4.450000e+02	1.471081e+00	4.078301e-02
4.460000e+02	1.470866e+00	4.058912e-02
