ref: simulated example

wavelength (nm)	n	k
3.820000e+02	1.490887e+00	3.913527e-02
3.830000e+02	1.490468e+00	3.862588e-02
3.840000e+02	1.490052e+00	3.812987e-02
3.850000e+02	1.489640e+00	3.764793e-02
3.860000e+02	1.489230e+00	3.717771e-02
3.870000e+02	1.488822e+00	3.671885e-02
3.880000e+02	1.488417e+00	3.627099e-02
3.890000e+02	1.488015e+00	3.583381e-02
3.900000e+02	1.487616e+00	3.540820e-02
3.910000e+02	1.487219e+00	3.499428e-02
3.920000e+02	1.486826e+00	3.459003e-02
3.930000e+02	1.486435e+00	3.419518e-02
3.940000e+02	1.486046e+00	3.380945e-02
3.950000e+02	1.485661e+00	3.343331e-02
3.960000e+02	1.485278e+00	3.306796e-02
3.970000e+02	1.484898e+00	3.271090e-02
3.980000e+02	1.484521e+00	3.236189e-02
3.990000e+02	1.484146e+00	3.202071e-02
4.000000e+02	1.483774e+00	3.168880e-02
4.010000e+02	1.483405e+00	3.136556e-02
4.020000e+02	1.483038e+00	3.104944e-02
4.030000e+02	1.482674e+00	3.074027e-02
4.040000e+02	1.482312e+00	3.043853e-02
4.050000e+02	1.481953e+00	3.014564e-02
4.060000e+02	1.481596e+00	2.985908e-02
4.070000e+02	1.481242e+00	2.957869e-02
4.080000e+02	1.480890e+00	2.930483e-02
4.090000e+02	1.480540e+00	2.903928e-02
4.100000e+02	1.480193e+00	2.877937e-02
4.110000e+02	1.479848e+00	2.852496e-02
4.120000e+02	1.479505e+00	2.827695e-02
4.130000e+02	1.479165e+00	2.803611e-02
4.140000e+02	1.478827e+00	2.780032e-02
4.150000e+02	1.478490e+00	2.756944e-02
4.160000e+02	1.478156e+00	2.734548e-02
4.170000e+02	1.477825e+00	2.712707e-02
4.180000e+02	1.477495e+00	2.691318e-02
4.190000e+02	1.477166e+00	2.670435e-02
4.200000e+02	1.476841e+00	2.650220e-02
4.210000e+02	1.476516e+00	2.630423e-02
4.220000e+02	1.476194e+00	2.611032e-02
4.230000e+02	1.475874e+00	2.592301e-02
4.240000e+02	1.475555e+00	2.573997e-02
4.250000e+02	1.475238e+00	2.556070e-02
4.260000e+02	1.474923e+00	2.538702e-02
4.270000e+02	1.474609e+00	2.521805e-02
4.280000e+02	1.474297e+00	2.505256e-02
4.290000e+02	1.473987e+00	2.489201e-02
