ref: simulated example

wavelength (nm)	n	k
3.820000e+02	2.166296e+00	3.544903e-03
3.830000e+02	2.166111e+00	3.554487e-03
3.840000e+02	2.165925e+00	3.564073e-03
3.850000e+02	2.165740e+00	3.573661e-03
3.860000e+02	2.165554e+00	3.583251e-03
3.870000e+02	2.165368e+00	3.592842e-03
3.880000e+02	2.165183e+00	3.602434e-03
3.890000e+02	2.164997e+00	3.612029e-03
3.900000e+02	2.164811e+00	3.621625e-03
3.910000e+02	2.164626e+00	3.631223e-03
3.920000e+02	2.164440e+00	3.640822e-03
3.930000e+02	2.164254e+00	3.650423e-03
3.940000e+02	2.164068e+00	3.660026e-03
3.950000e+02	2.163883e+00	3.669630e-03
3.960000e+02	2.163697e+00	3.679236e-03
3.970000e+02	2.163511e+00	3.688844e-03
3.980000e+02	2.163325e+00	3.698454e-03
3.990000e+02	2.163139e+00	3.708065e-03
4.000000e+02	2.162953e+00	3.717677e-03
4.010000e+02	2.162767e+00	3.727292e-03
4.020000e+02	2.162582e+00	3.736908e-03
4.030000e+02	2.162396e+00	3.746526e-03
4.040000e+02	2.162210e+00	3.756145e-03
4.050000e+02	2.162024e+00	3.765767e-03
4.060000e+02	2.161838e+00	3.775390e-03
4.070000e+02	2.161652e+00	3.785014e-03
4.080000e+02	2.161466e+00	3.794640e-03
4.090000e+02	2.161280e+00	3.804269e-03
4.100000e+02	2.161094e+00	3.813898e-03
4.110000e+02	2.160908e+00	3.823530e-03
4.120000e+02	2.160722e+00	3.833163e-03
4.130000e+02	2.160536e+00	3.842797e-03
4.140000e+02	2.160350e+00	3.852434e-03
4.150000e+02	2.160164e+00	3.862072e-03
4.160000e+02	2.159977e+00	3.871712e-03
4.170000e+02	2.159791e+00	3.881353e-03
4.180000e+02	2.159605e+00	3.890996e-03
4.190000e+02	2.159419e+00	3.900641e-03
4.200000e+02	2.159233e+00	3.910288e-03
4.210000e+02	2.159047e+00	3.919936e-03
4.220000e+02	2.158860e+00	3.929586e-03
4.230000e+02	2.158674e+00	3.939237e-03
4.240000e+02	2.158488e+00	3.948891e-03
4.250000e+02	2.158302e+00	3.958546e-03
4.260000e+02	2.158115e+00	3.968202e-03
4.270000e+02	2.157929e+00	3.977861e-03
4.280000e+02	2.157743e+00	3.987521e-03
4.290000e+02	2.157557e+00	3.997183e-03
4.300000e+02	2.157370e+00	4.006846e-03
4.310000e+02	2.157184e+00	4.016511e-03
4.320000e+02	2.156997e+00	4.026178e-03
4.330000e+02	2.156811e+00	4.035847e-03
4.340000e+02	2.156625e+00	4.045517e-03
4.350000e+02	2.156438e+00	4.055189e-03
4.360000e+02	2.156252e+00	4.064863e-03
4.370000e+02	2.156065e+00	4.074538e-03
4.380000e+02	2.155879e+00	4.084215e-03
4.390000e+02	2.155692e+00	4.093894e-03
4.400000e+02	2.155506e+00	4.103575e-03
4.410000e+02	2.155319e+00	4.113257e-03
4.420000e+02	2.155133e+00	4.122941e-03
4.430000e+02	2.154946e+00	4.132626e-03
4.440000e+02	2.154760e+00	4.142314e-03
4.450000e+02	2.154573e+00	4.152003e-03
4.460000e+02	2.154387e+00	4.161694e-03
4.470000e+02	2.154200e+00	4.171386e-03
4.480000e+02	2.154013e+00	4.181080e-03
4.490000e+02	2.153827e+00	4.190776e-03
4.500000e+02	2.153640e+00	4.200474e-03
4.510000e+02	2.153453e+00	4.210173e-03
4.520000e+02	2.153267e+00	4.219875e-03
4.530000e+02	2.153080e+00	4.229577e-03
4.540000e+02	2.152893e+00	4.239282e-03
4.550000e+02	2.152706e+00	4.248988e-03
4.560000e+02	2.152520e+00	4.258695e-03
4.570000e+02	2.152333e+00	4.268405e-03
4.580000e+02	2.152146e+00	4.278117e-03
4.590000e+02	2.151959e+00	4.287830e-03
4.600000e+02	2.151773e+00	4.297545e-03
4.610000e+02	2.151586e+00	4.307261e-03
4.620000e+02	2.151399e+00	4.316979e-03
4.630000e+02	2.151212e+00	4.326699e-03
4.640000e+02	2.151025e+00	4.336421e-03
4.650000e+02	2.150838e+00	4.346144e-03
4.660000e+02	2.150651e+00	4.355869e-03
4.670000e+02	2.150464e+00	4.365596e-03
4.680000e+02	2.150277e+00	4.375324e-03
4.690000e+02	2.150090e+00	4.385055e-03
4.700000e+02	2.149903e+00	4.394787e-03
4.710000e+02	2.149716e+00	4.404521e-03
4.720000e+02	2.149529e+00	4.414256e-03
4.730000e+02	2.149342e+00	4.423993e-03
4.740000e+02	2.149155e+00	4.433732e-03
4.750000e+02	2.148968e+00	4.443473e-03
4.760000e+02	2.148781e+00	4.453215e-03
4.770000e+02	2.148594e+00	4.462959e-03
4.780000e+02	2.148407e+00	4.472705e-03
4.790000e+02	2.148220e+00	4.482452e-03
4.800000e+02	2.148033e+00	4.492202e-03
4.810000e+02	2.147846e+00	4.501953e-03
4.820000e+02	2.147658e+00	4.511706e-03
4.830000e+02	2.147471e+00	4.521460e-03
4.840000e+02	2.147284e+00	4.531216e-03
4.850000e+02	2.147097e+00	4.540974e-03
4.860000e+02	2.146909e+00	4.550734e-03
4.870000e+02	2.146722e+00	4.560496e-03
4.880000e+02	2.146535e+00	4.570259e-03
4.890000e+02	2.146348e+00	4.580024e-03
4.900000e+02	2.146160e+00	4.589790e-03
4.910000e+02	2.145973e+00	4.599559e-03
4.920000e+02	2.145786e+00	4.609329e-03
